frame_index,time,timestamp
0,0.0,2022-3-18 17.7.41.81
1,0.016666666666666666,2022-3-18 17.7.41.95
2,0.03333333333333333,2022-3-18 17.7.41.122
3,0.05,2022-3-18 17.7.41.136
4,0.06666666666666667,2022-3-18 17.7.41.150
5,0.08333333333333333,2022-3-18 17.7.41.164
6,0.1,2022-3-18 17.7.41.192
7,0.11666666666666667,2022-3-18 17.7.41.206
8,0.13333333333333333,2022-3-18 17.7.41.220
9,0.15,2022-3-18 17.7.41.233
10,0.16666666666666666,2022-3-18 17.7.41.247
11,0.18333333333333332,2022-3-18 17.7.41.275
12,0.2,2022-3-18 17.7.41.289
13,0.21666666666666667,2022-3-18 17.7.41.303
14,0.23333333333333334,2022-3-18 17.7.41.316
15,0.25,2022-3-18 17.7.41.330
16,0.26666666666666666,2022-3-18 17.7.41.358
17,0.2833333333333333,2022-3-18 17.7.41.372
18,0.3,2022-3-18 17.7.41.386
19,0.31666666666666665,2022-3-18 17.7.41.400
20,0.3333333333333333,2022-3-18 17.7.41.414
21,0.35,2022-3-18 17.7.41.428
22,0.36666666666666664,2022-3-18 17.7.41.456
23,0.38333333333333336,2022-3-18 17.7.41.470
24,0.4,2022-3-18 17.7.41.484
25,0.4166666666666667,2022-3-18 17.7.41.497
26,0.43333333333333335,2022-3-18 17.7.41.526
27,0.45,2022-3-18 17.7.41.540
28,0.4666666666666667,2022-3-18 17.7.41.553
29,0.48333333333333334,2022-3-18 17.7.41.567
30,0.5,2022-3-18 17.7.41.581
31,0.5166666666666667,2022-3-18 17.7.41.595
32,0.5333333333333333,2022-3-18 17.7.41.623
33,0.55,2022-3-18 17.7.41.637
34,0.5666666666666667,2022-3-18 17.7.41.651
35,0.5833333333333334,2022-3-18 17.7.41.665
36,0.6,2022-3-18 17.7.41.679
37,0.6166666666666667,2022-3-18 17.7.41.707
38,0.6333333333333333,2022-3-18 17.7.41.721
39,0.65,2022-3-18 17.7.41.734
40,0.6666666666666666,2022-3-18 17.7.41.748
41,0.6833333333333333,2022-3-18 17.7.41.762
42,0.7,2022-3-18 17.7.41.790
43,0.7166666666666667,2022-3-18 17.7.41.804
44,0.7333333333333333,2022-3-18 17.7.41.818
45,0.75,2022-3-18 17.7.41.832
46,0.7666666666666667,2022-3-18 17.7.41.846
47,0.7833333333333333,2022-3-18 17.7.41.860
48,0.8,2022-3-18 17.7.41.874
49,0.8166666666666667,2022-3-18 17.7.41.903
50,0.8333333333333334,2022-3-18 17.7.41.918
51,0.85,2022-3-18 17.7.41.918
52,0.8666666666666667,2022-3-18 17.7.41.932
53,0.8833333333333333,2022-3-18 17.7.41.962
54,0.9,2022-3-18 17.7.41.962
55,0.9166666666666666,2022-3-18 17.7.41.990
56,0.9333333333333333,2022-3-18 17.7.42.18
57,0.95,2022-3-18 17.7.42.32
58,0.9666666666666667,2022-3-18 17.7.42.46
59,0.9833333333333333,2022-3-18 17.7.42.60
60,1.0,2022-3-18 17.7.42.60
61,1.0166666666666666,2022-3-18 17.7.42.103
62,1.0333333333333334,2022-3-18 17.7.42.118
63,1.05,2022-3-18 17.7.42.131
64,1.0666666666666667,2022-3-18 17.7.42.146
65,1.0833333333333333,2022-3-18 17.7.42.160
66,1.1,2022-3-18 17.7.42.189
67,1.1166666666666667,2022-3-18 17.7.42.203
68,1.1333333333333333,2022-3-18 17.7.42.217
69,1.15,2022-3-18 17.7.42.231
70,1.1666666666666667,2022-3-18 17.7.42.245
71,1.1833333333333333,2022-3-18 17.7.42.273
72,1.2,2022-3-18 17.7.42.286
73,1.2166666666666666,2022-3-18 17.7.42.301
74,1.2333333333333334,2022-3-18 17.7.42.315
75,1.25,2022-3-18 17.7.42.329
76,1.2666666666666666,2022-3-18 17.7.42.357
77,1.2833333333333334,2022-3-18 17.7.42.357
78,1.3,2022-3-18 17.7.42.385
79,1.3166666666666667,2022-3-18 17.7.42.399
80,1.3333333333333333,2022-3-18 17.7.42.413
81,1.35,2022-3-18 17.7.42.441
82,1.3666666666666667,2022-3-18 17.7.42.454
83,1.3833333333333333,2022-3-18 17.7.42.469
84,1.4,2022-3-18 17.7.42.482
85,1.4166666666666667,2022-3-18 17.7.42.496
86,1.4333333333333333,2022-3-18 17.7.42.511
87,1.45,2022-3-18 17.7.42.538
88,1.4666666666666666,2022-3-18 17.7.42.538
89,1.4833333333333334,2022-3-18 17.7.42.566
90,1.5,2022-3-18 17.7.42.580
91,1.5166666666666666,2022-3-18 17.7.42.580
92,1.5333333333333334,2022-3-18 17.7.42.594
93,1.55,2022-3-18 17.7.42.594
94,1.5666666666666667,2022-3-18 17.7.42.649
95,1.5833333333333333,2022-3-18 17.7.42.663
96,1.6,2022-3-18 17.7.42.663
97,1.6166666666666667,2022-3-18 17.7.42.691
98,1.6333333333333333,2022-3-18 17.7.42.719
99,1.65,2022-3-18 17.7.42.733
100,1.6666666666666667,2022-3-18 17.7.42.733
101,1.6833333333333333,2022-3-18 17.7.42.747
102,1.7,2022-3-18 17.7.42.775
103,1.7166666666666666,2022-3-18 17.7.42.775
104,1.7333333333333334,2022-3-18 17.7.42.817
105,1.75,2022-3-18 17.7.42.817
106,1.7666666666666666,2022-3-18 17.7.42.831
107,1.7833333333333334,2022-3-18 17.7.42.831
108,1.8,2022-3-18 17.7.42.873
109,1.8166666666666667,2022-3-18 17.7.42.873
110,1.8333333333333333,2022-3-18 17.7.42.901
111,1.85,2022-3-18 17.7.42.901
112,1.8666666666666667,2022-3-18 17.7.42.928
113,1.8833333333333333,2022-3-18 17.7.42.928
